epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
213,0.5993,1.6101,1.1220,0.6383,1.3133,0.9537,0.0010000,66790,,,
214,0.6025,1.3200,0.9141,0.6379,1.3102,0.9533,0.0010000,67088,,,
215,0.6071,1.2499,1.0154,0.6385,1.3062,0.9532,0.0010000,67387,,,
216,0.6319,1.2023,0.9404,0.6365,1.3044,0.9528,0.0007386,67685,,,
217,0.6239,1.7056,1.0744,0.6359,1.3043,0.9525,0.0007386,67984,,,
218,0.6226,1.5286,1.0843,0.6395,1.3003,0.9494,0.0007386,68283,,,
219,0.6382,1.3545,0.9516,0.6395,1.3003,0.9484,0.0007386,68582,,,
220,0.6274,1.2113,0.9980,0.6389,1.3017,0.9472,0.0007386,68921,0.6553,1.2737,0.9339
221,0.6301,1.0459,0.8170,0.6363,1.3030,0.9464,0.0007386,69220,,,
222,0.6247,1.5714,1.0752,0.6381,1.3035,0.9449,0.0007386,69519,,,
223,0.6360,1.0935,0.8898,0.6409,1.3020,0.9414,0.0007386,69818,,,
224,0.6366,1.1461,0.8470,0.6415,1.3027,0.9393,0.0007386,70117,,,
225,0.6282,1.2430,0.9538,0.6411,1.3006,0.9360,0.0007386,70415,,,
226,0.6365,1.0889,0.9437,0.6417,1.2971,0.9336,0.0007386,70714,,,
227,0.6399,1.3075,0.9622,0.6409,1.2970,0.9309,0.0007386,71013,,,
228,0.6347,1.3959,0.8803,0.6425,1.2971,0.9307,0.0007386,71312,,,
229,0.6432,1.2961,0.8576,0.6443,1.3017,0.9308,0.0007386,71611,,,
230,0.6316,1.2144,0.9447,0.6429,1.2974,0.9285,0.0007386,71949,0.6517,1.2813,0.9181
231,0.6497,1.2466,0.9120,0.6427,1.2997,0.9280,0.0005455,72247,,,
232,0.6589,1.4585,1.0413,0.6423,1.2979,0.9271,0.0005455,72546,,,
233,0.6595,1.3600,0.8815,0.6443,1.2978,0.9258,0.0005455,72846,,,
234,0.6583,1.3620,0.9396,0.6459,1.2970,0.9239,0.0005455,73145,,,
235,0.6484,1.1292,0.8961,0.6465,1.2958,0.9221,0.0005455,73444,,,
236,0.6535,1.3131,0.9905,0.6475,1.2972,0.9215,0.0005455,73744,,,
237,0.6654,1.5452,0.9318,0.6455,1.2975,0.9207,0.0005455,74043,,,
238,0.6595,1.2646,0.9117,0.6485,1.2963,0.9195,0.0005455,74342,,,
239,0.6626,0.7886,0.6447,0.6493,1.2922,0.9190,0.0005455,74642,,,
240,0.6573,0.9445,0.7557,0.6475,1.2915,0.9188,0.0005455,74980,0.6573,1.2660,0.9073
241,0.6632,1.1552,0.9268,0.6455,1.2917,0.9182,0.0005455,75280,,,
242,0.6565,1.3297,0.9974,0.6473,1.2910,0.9179,0.0005455,75579,,,
243,0.6613,1.3246,0.9506,0.6497,1.2871,0.9175,0.0005455,75878,,,
244,0.6521,1.1281,0.8989,0.6473,1.2854,0.9172,0.0005455,76177,,,
245,0.6608,1.4052,1.0243,0.6477,1.2863,0.9172,0.0005455,76477,,,
246,0.6767,1.0594,0.8226,0.6495,1.2870,0.9169,0.0004029,76777,,,
247,0.6713,1.1921,0.9179,0.6489,1.2873,0.9167,0.0004029,77077,,,
248,0.6782,1.4372,1.0260,0.6505,1.2885,0.9163,0.0004029,77377,,,
249,0.6778,1.1149,0.8534,0.6523,1.2892,0.9146,0.0004029,77677,,,
250,0.6823,1.1766,0.9230,0.6511,1.2894,0.9130,0.0004029,78016,0.6549,1.2654,0.9041
251,0.6814,1.1857,0.8691,0.6547,1.2872,0.9125,0.0004029,78317,,,
252,0.6817,1.1527,0.7963,0.6537,1.2893,0.9121,0.0004029,78617,,,
253,0.6786,1.1782,0.8587,0.6529,1.2938,0.9128,0.0004029,78917,,,
254,0.6765,1.4196,1.0148,0.6549,1.2934,0.9119,0.0004029,79218,,,
255,0.6780,0.9813,0.8775,0.6537,1.2936,0.9109,0.0004029,79518,,,
256,0.6807,1.1568,0.8547,0.6563,1.2916,0.9097,0.0004029,79818,,,
257,0.6768,0.8362,0.7293,0.6545,1.2922,0.9085,0.0004029,80119,,,
258,0.6839,1.2495,0.8571,0.6583,1.2905,0.9081,0.0004029,80420,,,
259,0.6790,0.9501,0.7164,0.6563,1.2935,0.9082,0.0004029,80720,,,
260,0.6818,1.1439,0.8868,0.6541,1.2944,0.9088,0.0004029,81060,0.6589,1.2615,0.8981
261,0.6904,1.2951,0.8783,0.6511,1.2941,0.9081,0.0002976,81360,,,
262,0.7033,0.6249,0.5499,0.6489,1.2922,0.9072,0.0002976,81660,,,
263,0.7005,1.2469,0.9158,0.6503,1.2905,0.9063,0.0002976,81961,,,
264,0.6947,1.0596,0.7475,0.6511,1.2903,0.9054,0.0002976,82262,,,
265,0.6973,0.8972,0.6717,0.6511,1.2914,0.9046,0.0002976,82563,,,
266,0.6968,0.9162,0.7245,0.6499,1.2922,0.9045,0.0002976,82863,,,
267,0.6950,1.1755,0.7926,0.6515,1.2927,0.9034,0.0002976,83164,,,
268,0.6901,1.2583,0.9216,0.6545,1.2951,0.9022,0.0002976,83465,,,
